
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,,,,,,,,,,,,,,,,,,,,,,,,,
67,Colin Blackwell\blackco01,26,NSH,C,27,279,272,50.6,-0.2,212,185,53.4,2.7,11.2,92.4,103.6,46.5,53.5,10:57,10:50,6,7,0.8,53,58.5
68,Sammy Blais\blaissa01,23,STL,LW,40,395,399,49.7,-1.0,307,304,50.2,-0.7,7.4,92.0,99.4,48.3,51.7,12:35,11:38,12,18,3.2,86,65.1
69,Joseph Blandisi\blandjo01,25,PIT,C,21,103,147,41.2,-10.0,76,112,40.4,-11.5,11.3,88.5,99.8,36.8,63.2,8:13,8:07,8,1,-1.6,21,57.1
70,Joachim Blichfeld\blichjo01,21,SJS,W,3,21,37,36.2,-11.3,17,24,41.5,-6.0,0.0,87.5,87.5,34.8,65.2,12:46,12:32,2,0,-0.7,6,50.0
71,Anton Blidh\blidhan01,24,BOS,LW,7,44,46,48.9,-6.2,34,38,47.2,-8.0,12.0,91.3,103.3,35.9,64.1,11:31,10:07,2,1,0.9,13,69.2
72,Teddy Blueger\bluegte01,25,PIT,C,69,753,740,50.4,-0.7,551,563,49.5,-2.7,7.1,92.4,99.5,30.2,69.8,15:49,13:17,29,22,-2.0,157,65.0
73,Mikkel Boedker\boedkmi01,30,OTT,RW,20,137,162,45.8,-4.2,104,117,47.1,-2.2,5.8,92.0,97.8,47.7,52.3,9:43,8:16,1,8,-2.4,44,65.9
74,Brock Boeser\boesebr01,22,VAN,RW,57,817,718,53.2,6.7,618,521,54.3,7.2,12.1,88.5,100.5,56.2,43.8,18:34,14:14,20,22,5.2,282,59.9
75,Zach Bogosian\bogosza01,29,TOT,D,27,316,346,47.7,-1.2,239,271,46.9,-1.7,11.0,89.9,100.9,45.1,54.9,16:38,13:59,4,11,-1.8,55,52.7
76,Nick Bonino\boninni01,31,NSH,C,67,822,841,49.4,-1.7,651,607,51.7,0.4,11.2,91.8,103.0,36.3,63.7,16:31,12:22,47,22,2.2,169,61.5
77,Adam Boqvist\boqviad01,19,CHI,D,41,550,584,48.5,0.5,419,458,47.8,1.1,9.2,91.0,100.2,58.4,41.6,16:13,13:53,10,26,-2.8,107,46.7
78,Jesper Boqvist\boqvije01,21,NJD,C,35,285,328,46.5,-0.3,211,243,46.5,-1.2,3.5,91.6,95.1,47.3,52.7,10:57,9:52,13,11,-3.2,70,58.6
